repetition,num_adv_hsdirs,hsdir_matches_at_least,pubkeys_list_size,time
10,15,1,180,1.4912914400920272
10,15,1,360,2.784953518072143
10,15,1,540,4.0465404520509765
10,15,1,720,5.260524088982493
10,15,1,900,6.458494168007746
10,15,2,180,281.2070333310403
10,15,2,360,515.0665159539785
10,15,2,540,750.1932012090692
10,15,2,720,974.996495001018
10,15,2,900,1215.2064314750023
10,20,1,180,1.061413347022608
10,20,1,360,2.1884837810648605
10,20,1,540,3.195914634037763
10,20,1,720,4.171703207073733
10,20,1,900,5.218637131038122
10,20,2,180,176.27197893406264
10,20,2,360,350.45211118098814
10,20,2,540,513.7319428970804
10,20,2,720,674.0171461910941
10,20,2,900,830.6307404120453
10,25,1,180,0.9614875379484147
10,25,1,360,1.8533700769767165
10,25,1,540,2.6763686189660802
10,25,1,720,3.9001602199859917
10,25,1,900,5.026039064978249
10,25,2,180,139.90243928099517
10,25,2,360,279.7002969159512
10,25,2,540,419.66870903095696
10,25,2,720,545.7856740459101
10,25,2,900,678.1821854269365
